Rank,Publisher,Article Count,Likes,Shares,Comments,Total Facebook Interactions
1,buzzfeed.com,2737,21153951,13074744,16416813,50645508
2,huffingtonpost.com,16724,17446850,6234543,6251652,29933045
3,abcnews.com,15745,5358070,2436299,1846666,9641035
4,nbc.com,17298,5648948,1754030,1815982,9218960
5,ijreview.com,511,5923204,1825124,1419750,9168078
6,cnn.com,6171,3989452,2223661,1968822,8181935
7,nytimes.com,7127,4366523,1977439,1813340,8157302
8,theguardian.com,11345,4191739,2108735,1751159,8051633
9,foxnews.com,46219,4281867,1747524,1928641,7958032
10,upworthy.com,253,4536544,2120520,1147551,7804615
11,viralnova.com,179,4635869,1986548,1180635,7803052
12,dailymail.co.uk,9379,3373704,1965967,2276918,7616589
13,elitedaily.com,1985,3505602,1361302,1100839,5967743
14,theblaze.com,1346,3162282,1486505,1042607,5691394
15,bbc.co.uk,8245,2195165,1887928,1437017,5520110
16,npr.org,2521,3050815,1121866,1061044,5233725
17,usatoday.com,6559,2182071,894412,1021572,4098055
18,washingtonpost.com,7041,2196657,982431,908030,4087118
19,yahoo.com,89489,1866768,1145769,931541,3944078
20,businessinsider.com,4703,2014547,808295,740352,3563194
21,cbsnews.com,26229,1880329,729900,932302,3542531
22,thoughtcatalog.com,1833,1877684,828577,797681,3503942
23,bleacherreport.com,9920,2104020,615570,615453,3335043
24,espn.com,5692,1814910,424334,786122,3025366
25,slate.com,1493,1251395,554675,742839,2548909
26,time.com,2786,1445358,534733,539984,2520075
27,wimp.com,144,1373162,672253,465298,2510713
28,thinkprogress.org,796,1389574,603889,501522,2494985
29,rollingstone.com,462,1626042,379903,410600,2416545
30,tmz.com,636,1410855,355656,634184,2400695
31,mashable.com,1404,1231851,642274,360884,2235009
32,rt.com,904,1137010,665696,411332,2214038
33,mirror.co.uk,7395,840279,606661,639370,2086310
34,twentytwowords.com,225,1337186,387845,341865,2066896
35,scarymommy.com,40,783617,418149,857272,2059038
36,independent.co.uk,6211,928364,516508,558434,2003306
37,heritage.org,341,1279983,414618,202356,1896957
38,dailykos.com,4983,1061449,428203,384527,1874179
39,theonion.com,219,1157244,345025,315638,1817907
40,telegraph.co.uk,12942,835893,467723,469652,1773268
41,latimes.com,4595,940382,341560,369290,1651232
42,nydailynews.com,4864,712971,396912,471003,1580886
43,rightwingnews.com,630,855335,337472,287107,1479914
44,people.com,890,951646,238140,267821,1457607
45,mindbodygreen.com,265,836143,423694,151906,1411743
46,newsbusters.org,527,906461,273760,225216,1405437
47,collegehumor.com,822,818633,292272,286741,1397646
48,theatlantic.com,627,740739,338152,305938,1384829
49,theverge.com,1068,745004,332380,286983,1364367
50,hollywoodreporter.com,2754,943265,211307,208760,1363332
