Rank,Publisher,Articles,Comments,Likes,Shares,Facebook Total
1,BuzzFeed,2905,12451896,16143317,10431698,39026911
2,The Huffington Post,16904,5416775,16330167,6013946,27760888
3,ABC News,22056,3230762,10120747,5411181,18762690
4,Fox News,54842,3587994,8470954,3082066,15141014
5,NBC,20394,2492925,7390879,2170176,12053980
6,IJR,639,1985453,7629964,2406070,12021487
7,The Guardian,11178,1792699,4543785,2125030,8461514
8,The New York Times,7853,1639631,4157892,2063861,7861384
9,The Blaze,1336,1409846,4383331,1870991,7664168
10,The Daily Mail,10897,2056432,3477182,1846651,7380265
11,CNN,6372,1464381,3659943,1927964,7052288
12,Upworthy,252,920960,3824812,1982216,6727988
13,Elite Daily,2300,1040647,3397670,1100170,5538487
14,NPR,6568,905862,3120135,1183575,5209572
15,BBC,10867,1185781,1711592,1612287,4509660
16,Viral Nova,238,577646,2623388,1265280,4466314
17,Movie Pilot,822,242019,3768145,347311,4357475
18,USA Today,7953,1019538,2112892,823733,3956163
19,The Bleacher Report,9839,742340,2499727,688524,3930591
20,The Washington Post,7791,941154,1939658,890436,3771248
21,Yahoo,110210,845300,1751370,1127895,3724565
22,ESPN,5720,888914,2184160,479303,3552377
23,Time,3076,582081,2076517,890118,3548716
24,Young Cons,346,654214,1851155,773054,3278423
25,Eonline,4797,404063,2542097,322437,3268597
