Rank,Publisher,Article Count,Likes,Shares,Comments,Total Facebook
1,huffingtonpost.com,26264,28300712,9487502,8842648,46630862
2,buzzfeed.com,4026,17510331,7140258,7648593,32299182
3,foxnews.com,66909,12118773,3589668,3693999,19402440
4,nbc.com,29663,10120598,2618748,3153465,15892811
5,ijreview.com,710,8400399,2539514,1969240,12909153
6,theguardian.com,12159,5355273,2542423,2037248,9934944
7,nytimes.com,8991,5217299,2301950,1662680,9181929
8,dailymail.co.uk,18323,4361449,2233840,2100578,8695867
9,abs-cbnnews.com,4671,7290647,495188,880400,8666235
10,elitedaily.com,2252,4991379,1857432,1704065,8552876
11,cnn.com,12001,4254468,1936651,1542874,7733993
12,upworthy.com,362,4037889,2058423,971179,7067491
13,theblaze.com,2142,4025858,1673061,1234064,6932983
14,bleacherreport.com,10538,4299576,857317,873186,6030079
15,playbuzz.com,89,1625148,2038560,2095907,5759615
16,usatoday.com,10066,3018750,990978,1032938,5042666
17,npr.org,6680,2982312,1045827,788800,4816939
18,yahoo.com,122186,2125114,1589846,1074112,4789072
19,bbc.co.uk,14928,1783259,1633171,1092343,4508773
20,time.com,3492,2834303,955342,710012,4499657
21,washingtonpost.com,8466,2294714,997517,1016044,4308275
22,eonline.com,3688,3321882,320763,387124,4029769
23,espn.com,4382,2659573,442052,829404,3931029
24,cbsnews.com,23079,2080358,699499,866304,3646161
25,mirror.co.uk,7546,2059967,717948,831219,3609134
