Rank,Publisher,Article Count,Likes,Shares,Comments,Total FB
1,huffingtonpost.com,26556,32596908,9297574,9168965,51063447
2,buzzfeed.com,4286,16639635,5954070,6212049,28805754
3,foxnews.com,67806,11015490,3086864,3115082,17217436
4,nbc.com,35377,10468193,2917541,3551629,16937363
5,ijreview.com,828,8644247,2705463,2390579,13740289
6,abs-cbnnews.com,4921,9300776,814505,1452260,11567541
7,theguardian.com,11787,5935784,2581490,2087727,10605001
8,nytimes.com,9246,5122449,2421518,1716634,9260601
9,dailymail.co.uk,19038,4182297,2150384,1961757,8294438
10,bleacherreport.com,9476,6311218,899756,926860,8137834
11,iflscience.com,259,5602739,1329765,940316,7872820
12,elitedaily.com,2226,4810221,1425661,1354361,7590243
13,cnn.com,10557,3645828,1839826,1657090,7142744
14,boredpanda.com,76,4550333,1281351,736214,6567898
15,washingtonpost.com,8568,3433759,1455517,1270623,6159899
16,usatoday.com,12131,3673022,1137174,1159792,5969988
17,mirror.co.uk,8331,3745104,963046,1207588,5915738
18,yahoo.com,116116,2799282,1860417,1231540,5891239
19,bbc.co.uk,20953,2168327,1744329,1222281,5134937
20,mtv.com,1778,4278848,354462,379673,5012983
21,espn.com,4898,3360761,547818,1022166,4930745
22,npr.org,4322,2981479,1113813,820414,4915706
23,theblaze.com,1552,2819964,1151943,929427,4901334
24,time.com,3127,2789569,948245,684088,4421902
25,disney.com,361,3399614,603879,341996,4345489
