Rank,Publisher,Article Count,Likes,Shares,Comments,FB Total
1,huffingtonpost.com,25.172,"35,179,920","9,450,454","8,868,622","53,498,996"
2,buzzfeed.com,5.01,"18,887,339","6,279,826","6,749,355","31,916,520"
3,foxnews.com,68.217,"16,778,581","4,135,853","4,385,914","25,300,348"
4,playbuzz.com,1.147,"5,574,053","7,596,499","7,488,467","20,659,019"
5,nbc.com,39.096,"12,057,132","3,013,827","3,260,883","18,331,842"
6,bleacherreport.com,9.239,"11,724,389","1,024,411","1,130,699","13,879,499"
7,abs-cbnnews.com,4.453,"11,305,995","692,006","1,398,690","13,396,691"
8,theguardian.com,12.025,"7,279,067","2,848,488","2,391,605","12,519,160"
9,mirror.co.uk,8.449,"8,518,221","1,137,085","1,629,059","11,284,365"
10,ijreview.com,602,"7,090,146","2,085,918","1,769,524","10,945,588"
11,nytimes.com,9.268,"6,070,134","2,528,206","1,708,671","10,307,011"
12,iflscience.com,300,"7,569,857","1,601,124","896,084","10,067,065"
13,conservativetribune.com,683,"7,296,759","1,318,346","1,321,901","9,937,006"
14,tpnn.com,459,"5,948,284","1,797,776","1,910,384","9,656,444"
15,dailymail.co.uk,17.238,"4,351,748","2,251,734","2,236,339","8,839,821"
16,gmanetwork.com,7.798,"6,947,833","596,573","1,081,993","8,626,399"
17,mtv.com,1.909,"7,283,924","569,378","545,092","8,398,394"
18,comicbook.com,887,"7,323,114","573,232","496,243","8,392,589"
19,westernjournalism.com,993,"5,636,814","1,448,347","1,099,436","8,184,597"
20,bbc.co.uk,46.796,"3,682,175","2,721,467","1,752,200","8,155,842"
21,elitedaily.com,2.258,"5,067,477","1,574,161","1,501,703","8,143,341"
22,eonline.com,4.148,"6,915,533","454,072","518,343","7,887,948"
23,espn.com,11.836,"5,568,511","825,285","1,474,161","7,867,957"
24,upworthy.com,348,"4,459,200","1,926,413","799,138","7,184,751"
25,goal.com,7.13,"6,773,280","135,895","213,397","7,122,572"
