Rank,Site,Article Count,Likes,Shares,Comments,FB Total
1,huffingtonpost.com,20483,30621081,8031933,8107548,46760562
2,buzzfeed.com,5093,23239580,7449748,7886143,38575471
3,playbuzz.com,1282,8024871,8701670,8947869,25674410
4,foxnews.com,68174,15938055,3441549,4513391,23892995
5,nbc.com,38300,13118232,3140733,4184980,20443945
6,abs-cbnnews.com,4468,13274173,544508,1380383,15199064
7,ijreview.com,1147,9233836,2186135,2319426,13739397
8,mirror.co.uk,9348,10051368,1087407,1523804,12662579
9,conservativetribune.com,793,7482099,2016709,1807672,11306480
10,bleacherreport.com,8854,9122608,776759,917449,10816816
11,theguardian.com,11959,6229290,2423022,2144877,10797189
12,iflscience.com,263,7502698,1531565,1022254,10056517
13,bbc.co.uk,35176,5323741,2486110,1915345,9725196
14,nytimes.com,8431,5439189,2311298,1862802,9613289
15,dailymail.co.uk,18391,4927650,2142789,2429106,9499545
16,moviepilot.com,3101,7452041,997699,610947,9060687
17,comicbook.com,1214,7572391,713112,677218,8962721
18,washingtonpost.com,8872,5269884,1850869,1841967,8962720
19,tpnn.com,498,5811844,1487792,1602486,8902122
20,elitedaily.com,1521,5529012,1404929,1464081,8398022
21,espn.com,13290,5793308,950773,1378911,8122992
22,mtv.com,1783,6867767,574936,602313,8045016
23,eonline.com,3733,6290258,398409,542823,7231490
24,rare.us,1191,4847263,1477592,894667,7219522
25,westernjournalism.com,755,5058581,1081438,969034,7109053
