Rank,Domain,Article Count,LinkedIn Shares
1,forbes.com,6031,258578
2,nytimes.com,7678,179859
3,mashable.com,1406,148848
4,businessinsider.com,3851,84462
5,bbc.co.uk,9512,80694
6,hbr.org,175,77562
7,techcrunch.com,1123,77277
8,huffingtonpost.com,18135,68276
9,cnn.com,6992,63093
10,theguardian.com,12152,61326
11,wsj.com,6885,58416
12,entrepreneur.com,462,53734
13,nbcnews.com,16758,53459
14,fastcompany.com,337,49417
15,bloomberg.com,6074,45070
16,washingtonpost.com,7190,43545
17,cnbc.com,4930,35991
18,usatoday.com,6566,35268
19,bizjournals.com,9234,34152
20,reuters.com,24398,33435
21,gigaom.com,893,31895
22,telegraph.co.uk,9037,28374
23,venturebeat.com,834,27738
24,ft.com,4581,26251
25,wired.com,945,24252
