Rank,Publisher,Article Count,LinkedIn Shares
1,forbes.com,7814,453446
2,nytimes.com,9421,346097
3,businessinsider.com,5490,345694
4,huffingtonpost.com,24448,302336
5,inc.com,1494,272867
6,mashable.com,2157,219884
7,entrepreneur.com,903,218988
8,bloomberg.com,11322,190019
9,bbc.co.uk,38176,181377
10,techcrunch.com,1125,178518
11,wsj.com,9545,163357
12,hbr.org,165,154833
13,theguardian.com,12742,147889
14,cnn.com,11396,145139
15,nbc.com,41621,108062
16,variety.com,1164,105870
17,venturebeat.com,1035,95915
18,reuters.com,35813,88733
19,ft.com,5169,88111
20,telegraph.co.uk,17798,82661
