,January,,February,,October,,,,,
Domain,Article Count,LinkedIn Shares,Article Count,Shares,Article Count,LinkedIn Shares,,,,
bbc.co.uk,9512,80694,14442,123586,38176,181377,,,,
bizjournals.com,9234,34152,7620,91647,,,,,,
bloomberg.com,6074,45070,8733,123690,11322,190019,,,,
businessinsider.com,3851,84462,3251,227949,5490,345694,,,,
cnbc.com,4930,35991,,,,,,,,
cnn.com,6992,63093,8928,122457,11396,145139,,,,
economist.com,,,805,101332,,,,,,
entrepreneur.com,462,53734,563,120182,903,218988,,,,
fastcompany.com,337,49417,339,87299,,,,,,
forbes.com,6031,258578,6082,410189,7814,453446,,,,
ft.com,4581,26251,,,5169,88111,,,,
gigaom.com,893,31895,,,,,,,,
hbr.org,175,77562,170,110173,165,154833,,,,
huffingtonpost.com,18135,68276,19205,133673,24448,302336,,,,
inc.com,,,681,163770,1494,272867,,,,
mashable.com,1406,148848,1604,221731,2157,219884,,,,
nbcnews.com,16758,53459,22671,87367,41621,108062,,,,
nytimes.com,7678,179859,9016,292121,9421,346097,,,,
reuters.com,24398,33435,31861,72463,35813,88733,,,,
techcrunch.com,1123,77277,1105,147438,1125,178518,,,,
telegraph.co.uk,9037,28374,,,17798,82661,,,,
theguardian.com,12152,61326,11521,114598,12742,147889,,,,
usatoday.com,6566,35268,,,,,,,,
variety.com,,,,,1164,105870,,,,
venturebeat.com,834,27738,950,74825,1035,95915,,,,
washingtonpost.com,7190,43545,,,,,,,,
wired.com,945,24252,,,,,,,,
wsj.com,6885,58416,9476,153814,9545,163357,,,,
,,,,,,,,,,
Sorted Article Count,,,,,,,,,,
,January,February,October,Sum,,Sorted Shares,January,February,October,Sum
reuters.com,24398,31861,35813,92072,,forbes.com,258578,410189,453446,1122213
nbcnews.com,16758,22671,41621,81050,,nytimes.com,179859,292121,346097,818077
bbc.co.uk,9512,14442,38176,62130,,businessinsider.com,84462,227949,345694,658105
huffingtonpost.com,18135,19205,24448,61788,,mashable.com,148848,221731,219884,590463
theguardian.com,12152,11521,12742,36415,,huffingtonpost.com,68276,133673,302336,504285
cnn.com,6992,8928,11396,27316,,inc.com,,163770,272867,436637
telegraph.co.uk,9037,,17798,26835,,techcrunch.com,77277,147438,178518,403233
bloomberg.com,6074,8733,11322,26129,,entrepreneur.com,53734,120182,218988,392904
nytimes.com,7678,9016,9421,26115,,bbc.co.uk,80694,123586,181377,385657
wsj.com,6885,9476,9545,25906,,wsj.com,58416,153814,163357,375587
forbes.com,6031,6082,7814,19927,,bloomberg.com,45070,123690,190019,358779
bizjournals.com,9234,7620,,16854,,hbr.org,77562,110173,154833,342568
businessinsider.com,3851,3251,5490,12592,,cnn.com,63093,122457,145139,330689
ft.com,4581,,5169,9750,,theguardian.com,61326,114598,147889,323813
washingtonpost.com,7190,,,7190,,nbcnews.com,53459,87367,108062,248888
usatoday.com,6566,,,6566,,venturebeat.com,27738,74825,95915,198478
mashable.com,1406,1604,2157,5167,,reuters.com,33435,72463,88733,194631
cnbc.com,4930,,,4930,,fastcompany.com,49417,87299,,136716
techcrunch.com,1123,1105,1125,3353,,bizjournals.com,34152,91647,,125799
venturebeat.com,834,950,1035,2819,,ft.com,26251,,88111,114362
inc.com,,681,1494,2175,,telegraph.co.uk,28374,,82661,111035
entrepreneur.com,462,563,903,1928,,variety.com,,,105870,105870
variety.com,,,1164,1164,,economist.com,,101332,,101332
wired.com,945,,,945,,washingtonpost.com,43545,,,43545
gigaom.com,893,,,893,,cnbc.com,35991,,,35991
economist.com,,805,,805,,usatoday.com,35268,,,35268
fastcompany.com,337,339,,676,,gigaom.com,31895,,,31895
hbr.org,175,170,165,510,,wired.com,24252,,,24252
