Rank,Domain,Article Count,Twitter Shares
1,bbc.co.uk,9512,2704107
2,mashable.com,1406,1421044
3,nytimes.com,7678,1293611
4,cnn.com,6992,1178810
5,theguardian.com,12152,1099278
6,huffingtonpost.com,18135,958699
7,forbes.com,6031,797548
8,abcnews.com,16010,790662
9,buzzfeed.com,3237,756408
10,nbcnews.com,16758,604614
11,foxnews.com,48811,587263
12,bleacherreport.com,11407,582378
13,telegraph.co.uk,9037,531604
14,dailymail.co.uk,10680,509892
15,yahoo.com,110930,506487
16,techcrunch.com,1123,483555
17,wsj.com,6885,474098
18,businessinsider.com,3851,458069
19,espn.com,6346,440512
20,time.com,2833,386746
21,washingtonpost.com,7190,382582
22,usatoday.com,6566,377065
23,tmz.com,575,361521
24,goal.com,6915,353741
25,gizmodo.com,2904,344103
26,theverge.com,1374,342253
27,independent.co.uk,7259,339359
28,cnet.com,2189,322604
29,latimes.com,4989,304475
30,cbsnews.com,28859,296051
31,thenextweb.com,765,285719
32,indiatimes.com,18775,269002
33,thinkprogress.org,868,255033
34,slate.com,1491,249132
35,rt.com,1378,240797
36,deadspin.com,884,233765
37,rollingstone.com,562,224904
38,punchng.com,3896,220562
39,ndtv.com,9280,217923
40,mirror.co.uk,6251,208712
41,bloomberg.com,6074,204163
42,theblaze.com,1666,201118
43,sky.com,7515,200315
44,hollywoodreporter.com,2938,197306
45,wired.com,945,196772
46,mtv.com,901,195956
47,entrepreneur.com,462,195126
48,nydailynews.com,5387,193199
49,perezhilton.com,1858,190054
50,theatlantic.com,693,177025
