Rank,Publisher,Count,Total Twitter Shares
1,bbc.co.uk,8245,2481114
2,mashable.com,1404,1459562
3,nytimes.com,7127,1280818
4,cnn.com,6171,1155358
5,abcnews.com,15745,1149334
6,theguardian.com,11345,1066489
7,forbes.com,5114,812845
8,buzzfeed.com,2737,799923
9,huffingtonpost.com,16724,720629
10,nbc.com,17298,639664
11,yahoo.com,89489,567729
12,bleacherreport.com,9920,565630
13,wsj.com,6815,559093
14,foxnews.com,46219,539816
15,businessinsider.com,4703,502405
16,telegraph.co.uk,12942,501454
17,dailymail.co.uk,9379,476805
18,techcrunch.com,1131,458158
19,espn.com,5692,399434
20,theverge.com,1068,397478
21,washingtonpost.com,7041,387066
22,usatoday.com,6559,382436
23,gizmodo.com,2577,361223
24,time.com,2786,349773
25,cnet.com,1988,344346
