Rank,Publisher,Tweets,Article Count
1,bbc.co.uk,2714705,8738
2,nytimes.com,1836429,8015
3,abcnews.com,1759073,16607
4,mashable.com,1655541,1426
5,cnn.com,1207393,6178
6,theguardian.com,1156510,12425
7,forbes.com,961547,6025
8,huffingtonpost.com,854134,17357
9,buzzfeed.com,811576,2976
10,nbc.com,778958,20341
11,bleacherreport.com,681525,10504
12,foxnews.com,680896,52655
13,yahoo.com,662823,96437
14,wsj.com,643315,7415
15,telegraph.co.uk,592653,13694
16,businessinsider.com,537092,3716
17,dailymail.co.uk,512076,10407
18,espn.com,501749,5910
19,latimes.com,492805,5167
20,time.com,436561,2985
21,washingtonpost.com,399938,7556
22,indiatimes.com,392904,22645
23,theverge.com,387026,917
24,gizmodo.com,384944,2752
25,usatoday.com,370602,8043
