Rank,Publisher,Article Count,Twitter Shares
1,BBC,10867,2866354
2,The New York Times,7853,1997272
3,Mashable,1645,1829419
4,ABC News,22056,1558928
5,CNN,6372,1246775
6,Time,3076,1146464
7,The Guardian,11178,1130401
8,Forbes,6207,892681
9,BuzzFeed,2905,839125
10,Fox News,54842,824226
11,The Huffington Post,16904,771351
12,NBC,20394,750495
13,The Bleacher Report,9839,724889
14,The Wall St Journal,8589,630094
15,Yahoo,110210,587271
16,The Daily Mail,10897,535605
17,The India Times,22240,527801
18,ESPN,5720,522877
19,Business Insider,3400,492312
20,NDTV,8755,457325
21,The LA Times,4904,420958
22,USA Today,7953,413464
23,The Washington Post,7791,409800
24,The Independent,6231,391714
25,Gizmodo,2685,386958
