Rank,Publisher,Article Count,Tweets
1,bbc.co.uk,20953,3556637
2,nytimes.com,9246,2476791
3,mashable.com,1847,1951710
4,abcnews.com,12930,1906837
5,theguardian.com,11787,1419686
6,cnn.com,10557,1385019
7,huffingtonpost.com,26556,1142282
8,forbes.com,6955,1112241
9,buzzfeed.com,4286,992598
10,foxnews.com,67806,947970
11,yahoo.com,116116,898508
12,telegraph.co.uk,15966,888507
13,nbc.com,35377,859846
14,bleacherreport.com,9476,843379
15,wsj.com,9080,808982
16,dailymail.co.uk,19038,732723
17,independent.co.uk,6891,692636
18,washingtonpost.com,8568,620329
19,espn.com,4898,578959
20,rt.com,1466,571846
21,breitbart.com,3737,550091
22,usatoday.com,12131,546571
23,businessinsider.com,3567,545253
24,mtv.com,1778,494990
25,time.com,3127,492437
