Rank,Site,Article Count,Tweets
1,bbc.co.uk,35176,3960272
2,nytimes.com,8431,2221533
3,mashable.com,1848,1775751
4,theguardian.com,11959,1350454
5,abcnews.com,12080,1279177
6,cnn.com,9444,1273525
7,bleacherreport.com,8854,1178571
8,huffingtonpost.com,20483,1021940
9,foxnews.com,68174,992609
10,nbc.com,38300,925409
11,telegraph.co.uk,17644,908918
12,buzzfeed.com,5093,860514
13,independent.co.uk,6324,820948
14,dailymail.co.uk,18391,786280
15,forbes.com,6315,778152
16,yahoo.com,110424,773326
17,washingtonpost.com,8872,701444
18,espn.com,13290,689522
19,complex.com,2675,568738
20,rt.com,1998,567368
21,businessinsider.com,4836,564319
22,indiatimes.com,34794,548334
23,usatoday.com,12409,538293
24,mtv.com,1783,538213
25,cbsnews.com,21920,486450
