Twitter Shares,,,,,
,bbc.co.uk,nytimes.com,mashable.com,abcnews.com,cnn.com
14/01,2704107,,1421044,790662,1178810
14/02,2481114,1280818,1459562,1149334,1155358
14/03,2714705,1836429,1655541,1759073,1207393
14/04,2866354,1997272,1829419,1558928,1246775
14/05,3123577,2112842,1767630,1623797,1245418
14/06,3245304,2284778,1834040,1803100,1169156
14/07,3556637,2476791,1951710,1906837,1385019
14/08,3392030,2354626,1656521,1677643,1307342
14/09,3789897,2420402,1856563,1667659,1352330
14/10,4020105,2597804,1816282,1364784,1532395
14/11,3960272,2221533,1775751,1279177,1273525
14/12,3751694,2179163,1600099,1060136,965922
,,,,,
Article Count,,,,,
,yahoo.com,foxnews.com,nbcnews.com,The India Times,bbc.co.uk
14/01,110930,48811,16758,,9512
14/02,89489,46219,17298,,8245
14/03,96437,52655,20341,22645,8738
14/04,110210,54842,20394,22240,10867
14/05,115957,57688,22671,23810,14442
14/06,122186,66909,29662,22431,14928
14/07,116116,67806,35377,,20953
14/08,110276,65755,36084,34342,22352
14/09,113889,68217,39096,36191,46796
14/10,119613,72173,41619,32484,38162
14/11,110424,68174,38300,34794,35176
14/12,94543,62765,34124,35108,29226
