,Jan,,,Feb,,,Mar,,,Apr,,,May,,,14/06,,,14/07,,,14/08,,,14/09,,,14/10,,,14/11,,,14/12,,
,Shares,Article Count,Ratio,Shares,Article Count,Ratio,Shares,Article Count,Ratio,Shares,Article Count,Ratio,Shares,Article Count,Ratio,Shares,Article Count,Ratio,Shares,,Ratio,Shares,,Ratio,Shares,Article Count,Ratio,Shares,Article Count,Ratio,Shares,Article Count,Ratio,Shares,Article Count,Ratio
abcnews.com,790662,16010,49.3855090568395,1149334,15745,72.9967608764687,1759073,16607,105.923586439453,1558928,22056,70.6804497642365,1623797,17406,93.2894978742962,1803100,13203,136.567446792396,1906837,12930,147.473859242073,1677643,11761,142.644588045234,1667659,12656,131.768252212389,1364784,13555,100.68491331612,1279177,12080,105.892135761589,1060136,11385,93.1169082125604
bbc.co.uk,2704107,9512,284.283746846089,2481114,8245,300.923468768951,2714705,8738,310.678072785534,2866354,10867,263.766816968805,3123577,14442,216.284240409916,3245304,14928,217.397106109325,3556637,20953,169.743568940009,3392030,22352,151.755100214746,3789897,46796,80.9876271476194,4020105,38162,105.343142392956,3960272,35176,112.584489424608,3751694,29226,128.368370628892
bleacherreport.com,582378,11407,51.0544402559832,565630,9920,57.0191532258064,681525,10504,64.8824257425743,724889,9839,73.675068604533,741375,10446,70.9721424468696,842778,10538,79.975137597267,843379,9476,89.0015829463909,827064,8693,95.1413781203267,1087681,9239,117.727134971317,1117292,9519,117.374934341843,1178571,8854,133.111700926135,1035551,7936,130.487777217742
breitbart.com,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,415951,3747,111.009073925807,550091,3737,147.201230933904,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
businessinsider.com,458069,3851,118.948065437549,502405,4703,106.826493727408,537092,3716,144.534983853606,492312,3400,144.797647058824,469860,3251,144.527837588434,495077,3528,140.327947845805,545253,3567,152.860386879731,519757,3931,132.220045789875,594793,5083,117.016132205391,710489,5488,129.462281341108,564319,4836,116.691273779983,629656,4542,138.629678555702
buzzfeed.com,756408,3237,233.67562557924,799923,2737,292.262696382901,811576,2976,272.706989247312,839125,2905,288.855421686747,738144,3036,243.130434782609,740428,4026,183.911574764034,992598,4286,231.590760615959,849727,5112,166.222026604069,856900,5010,171.037924151697,896601,5590,160.39373881932,860514,5093,168.960141370509,819699,4437,184.741717376606
cbsnews.com,296051,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,21920,0,,,#DIV/0!
cnet.com,322604,,#DIV/0!,344346,1988,173.212273641851,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,10557,0,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!,,,#DIV/0!
cnn.com,1178810,6992,168.594107551487,1155358,6171,187.223788689029,1207393,6178,195.434282939463,1246775,6372,195.664626490898,1245418,8928,139.495743727599,1169156,12001,97.4215482043163,1385019,,#DIV/0!,1307342,10076,129.748114331084,1352330,9445,143.179460031763,1532395,11392,134.515010533708,1273525,9444,134.850169419737,965922,8716,110.82170720514
