,January,,,,,,February,,,,,,March,,,,,April,,,,,,May,,,,,,June,,,,,,July,,,,,,August,,,,,,September,,,,,,October,,,,,,November,,,,,,December,,,,,
Publisher,Article Count,Likes,Shares,Comments,FB Total,Actions per Article,Article Count,Likes,Shares,Comments,Total Facebook Interactions,Actions per Article,Article Count,Likes,Shares,Comments,Total Facebook Interactions,Articles,Comments,Likes,Shares,Facebook Total,Actions per Article,Article Count,Likes,Comments,Shares,Facebook Total,Actions per Article,Article Count,Likes,Shares,Comments,Total Facebook,Actions per Article,Article Count,Likes,Shares,Comments,Total FB,Actions per Article,Article Count,Likes,Shares,Comments,FB Total,Actions per Article,Article Count,Likes,Shares,Comments,FB Total,Actions per Article,Article Count,Likes,Comments,Shares,Facebook Total,Actions per Article,Article Count,Likes,Shares,Comments,FB Total,Actions per Article,Article Count,Likes,Shares,Comments,FB Total,Actions per Article
abs-cbnnews.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4703,15432389,2048102,809559,18290050,3889.0176483096,4468,13274173,544508,1380383,15199064,3401.7600716204,4122,14285560,783330,1303496,16372386,3971.9519650655
abcnews.com,,,,,,,15745,5358070,2436299,1846666,9641035,612.323594792,,,,,,22056,3230762,10120747,5411181,18762690,850.6841675735,4604,6760597,933408,515770,8209775,1783.1831016507,4671,7290647,495188,880400,8666235,1855.3275529865,4921,9300776,814505,1452260,11567541,2350.6484454379,4538,8818229,704355,1306867,10829451,2386.3929043632,4.453,11305995,692006,1398690,13396691,3008464.18145071,,,,,,,,,,,,,,,,,,
bbc.co.uk,9.512,2582599,2260578,1752673,6595850,693424.09587889,8245,2195165,1887928,1437017,5520110,669.5100060643,,,,,,10867,1185781,1711592,1612287,4509660,414.986656851,14442,1865950,1209140,1736697,4811787,333.1800997092,14928,1783259,1633171,1092343,4508773,302.0346329046,20953,2168327,1744329,1222281,5134937,245.0692979526,,,,,,,46.796,3682175,2721467,1752200,8155842,174285.024361057,38162,4748999,1928817,2842039,9519855,249.459016823,35176,5323741,2486110,1915345,9725196,276.4724812372,29226,5669346,2162527,1830629,9662502,330.6132211045
bleacherreport.com,11.407,2515688,848991,931137,4295816,376594.722538792,9920,2104020,615570,615453,3335043,336.1938508065,,,,,,9839,742340,2499727,688524,3930591,399.4909035471,10446,3048562,706048,671580,4426190,423.721041547,10538,4299576,857317,873186,6030079,572.2223382046,9476,6311218,899756,926860,8137834,858.7836639932,8693,8634097,874889,894045,10403031,1196.7135626366,9.239,11724389,1024411,1130699,13879499,1502272.86502868,9519,12140638,1039922,962045,14142605,1485.7238155269,8854,9122608,776759,917449,10816816,1221.6869211656,7936,7733136,653766,797151,9184053,1157.2647429436
boredpanda.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,4550333,1281351,736214,6567898,86419.7105263158,,,,,,,,,,,,,,,,,,,,,,,,,125,4448727,1058891,873460,6381078,51048.624
businessinsider.com,3.851,1830776,832799,736036,3399611,882786.548948325,4703,2014547,808295,740352,3563194,757.6427812035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buzzfeed.com,3.237,17651652,9507462,13080114,40239228,12431025.0231696,2737,21153951,13074744,16416813,50645508,18504.0219218122,,,,,,2905,12451896,16143317,10431698,39026911,13434.3927710843,3036,13296740,6106444,5877207,25280391,8326.8745059289,4026,17510331,7140258,7648593,32299182,8022.6482861401,4286,16639635,5954070,6212049,28805754,6720.894540364,5112,15506261,5414179,5186303,26106743,5106.952856025,5.01,18887339,6279826,6749355,31916520,6370562.8742515,5590,22843571,8434769,7526910,38805250,6941.9051878354,5093,23239580,7449748,7886143,38575471,7574.2138228942,4437,20922787,6254824,6402095,33579706,7568.1104349786
cbsnews.com,,,,,,,26229,1880329,729900,932302,3542531,135.0616111937,,,,,,,,,,,,22220,1806523,760649,621853,3189025,143.5204770477,23079,2080358,699499,866304,3646161,157.9860912518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cnn.com,6.992,4014435,2085844,2054922,8155201,1166361.69908467,6171,3989452,2223661,1968822,8181935,1325.8685788365,,,,,,6372,1464381,3659943,1927964,7052288,1106.762084118,8928,3568822,1360080,1862813,6791715,760.720766129,12001,4254468,1936651,1542874,7733993,644.4457128573,10557,3645828,1839826,1657090,7142744,676.5884247419,10076,4514560,2181559,1917148,8613267,854.8299920603,,,,,,,11392,5058779,2052147,2666491,9777417,858.2704529494,,,,,,,8716,3381061,1742931,1460427,6584419,755.4404543369
conservativetribune.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309,5151502,874350,828468,6854320,22182.2653721683,683,7296759,1318346,1321901,9937006,14549.0571010249,797,6578485,1499778,1654715,9732978,12212.017565872,793,7482099,2016709,1807672,11306480,14257.8562421185,743,7248282,2090437,1669149,11007868,14815.4347240915
comicbook.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,887,7323114,573232,496243,8392589,9461.7688838782,1320,9823141,809887,760092,11393120,8631.1515151515,1214,7572391,713112,677218,8962721,7382.8014827018,955,6731744,646723,738761,8117228,8499.7151832461
dailymail.co.uk,10.68,4060495,2528276,3003022,9591793,898107.958801498,9379,3373704,1965967,2276918,7616589,812.0896684081,,,,,,10897,2056432,3477182,1846651,7380265,677.2749380563,13724,3334755,1803123,1813535,6951413,506.5150830662,18323,4361449,2233840,2100578,8695867,474.5875129619,19038,4182297,2150384,1961757,8294438,435.6780123963,17419,4059959,2158068,1949023,8167050,468.8587174924,17.238,4351748,2251734,2236339,8839821,512810.128785242,19280,5505941,2674335,2478526,10658802,552.8424273859,18391,4927650,2142789,2429106,9499545,516.5322712196,16053,6029074,2057852,2471488,10558414,657.7221703108
disney.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,3399614,603879,341996,4345489,12037.3656509695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elitedaily.com,2.061,2500208,997685,744933,4242826,2058624.93934983,1985,3505602,1361302,1100839,5967743,3006.4196473552,,,,,,2300,1040647,3397670,1100170,5538487,2408.037826087,2213,3264397,888172,1163168,5315737,2402.0501581564,2252,4991379,1857432,1704065,8552876,3797.9023090586,2226,4810221,1425661,1354361,7590243,3409.8126684636,2280,6167175,1948269,1707428,9822872,4308.2771929825,2.258,5067477,1574161,1501703,8143341,3606439.76970771,,,,,,,1521,5529012,1404929,1464081,8398022,5521.3819855358,1335,7032714,2233076,2276509,11542299,8645.9168539326
Eonline,,,,,,,,,,,,,,,,,,4797,404063,2542097,322437,3268597,681.3835730665,4400,2611261,342033,314129,3267423,742.5961363636,3688,3321882,320763,387124,4029769,1092.6705531453,,,,,,,4195,5792776,420079,449179,6662034,1588.0891537545,4.148,6915533,454072,518343,7887948,1901626.80810029,4269,7681524,719059,561176,8961759,,3733,6290258,398409,542823,7231490,1937.1792124297,,,,,,
espn.com,6.346,2421740,630096,1378662,4430498,698156.00378191,5692,1814910,424334,786122,3025366,531.5119465917,,,,,,5720,888914,2184160,479303,3552377,621.0449300699,5359,2441169,824158,418820,3684147,687.4691173726,4382,2659573,442052,829404,3931029,897.0855773619,4898,3360761,547818,1022166,4930745,1006.6853817885,,,,,,,11.836,5568511,825285,1474161,7867957,664747.972287935,14064,5483906,1478703,905655,7868264,,13290,5793308,950773,1378911,8122992,611.2108352144,12518,7690473,919694,1570553,10180720,813.2864674868
foxnews.com,48.811,4200178,1828506,1970401,7999085,163878.736350413,46219,4281867,1747524,1928641,7958032,172.1809645384,,,,,,54842,3587994,8470954,3082066,15141014,276.0842784727,57688,9050584,3225959,3006622,15283165,264.9279746221,66909,12118773,3589668,3693999,19402440,289.9825135632,67806,11015490,3086864,3115082,17217436,253.9220128012,65755,15128078,3974203,4386428,23488709,357.2155577523,68.217,16778581,4135853,4385914,25300348,370880.396382133,72173,16719019,5704593,4843430,27267042,,68174,15938055,3441549,4513391,23892995,350.4707806495,62765,16638862,3392657,4569635,24601154,391.956568151
gmanetwork.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7558,5351479,499965,964055,6815499,901.7595924848,7.798,6947833,596573,1081993,8626399,1106232.23903565,,,,,,,,,,,,,,,,,,
goal.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7525,6519570,165813,256965,6942348,922.5711627907,7.13,6773280,135895,213397,7122572,998958.204768583,,,,,,,,,,,,,,,,,,
huffingtonpost.com,18.135,17404750,6757957,7401636,31564343,1740520.70581748,16724,17446850,6234543,6251652,29933045,1789.8256995934,,,,,,16904,5416775,16330167,6013946,27760888,1642.2673923332,19205,20022595,5997424,6880830,32900849,1713.1397552721,26264,28300712,9487502,8842648,46630862,1775.4668748096,26556,32596908,9297574,9168965,51063447,1922.8591278807,24574,35481498,9980827,9386718,54849043,2231.994913323,25.172,35179920,9450454,8868622,53498996,2125337.51787701,24448,44019495,11855409,11598607,67473511,2759.8785585733,20483,30621081,8031933,8107548,46760562,2282.8961577894,17940,27439265,7473639,7328801,42241705,2354.6100891862
iflscience.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,5602739,1329765,940316,7872820,30396.9884169884,280,8618636,1996769,1307769,11923174,42582.7642857143,300,7569857,1601124,896084,10067065,33556.8833333333,273,6680651,1051747,1453501,9185899,33647.9816849817,263,7502698,1531565,1022254,10056517,38237.7072243346,223,6091728,1259486,798446,8149660,36545.5605381166
ijreview.com,421,4782156,1486402,1214372,7482930,17774.1805225653,511,5923204,1825124,1419750,9168078,17941.4442270059,,,,,,639,1985453,7629964,2406070,12021487,18812.9687010955,637,7942981,1941412,2438971,12323364,19345.9403453689,710,8400399,2539514,1969240,12909153,18181.9056338028,828,8644247,2705463,2390579,13740289,16594.5519323672,646,8852698,2827398,2328327,14008423,21684.8653250774,602,7090146,2085918,1769524,10945588,18182.0398671096,917,6735309,1654110,1884119,10273538,11203.4220283533,1147,9233836,2186135,2319426,13739397,11978.5501307759,1038,6456439,1575864,1661078,9693381,9338.5173410405
mashable.com,1.406,1958671,1001265,680302,3640238,2589073.96870555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mirror.co.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7546,2059967,717948,831219,3609134,478.2843890803,8331,3745104,963046,1207588,5915738,710.0873844677,8186,5411619,904050,1121574,7437243,908.5320058637,8.449,8518221,1137085,1629059,11284365,1335585.86815008,9554,8805729,1615599,1205737,11627065,1216.9839857651,9348,10051368,1087407,1523804,12662579,1354.5762729996,8389,8511914,866551,1220928,10599393,1263.4870663965
Movie Pilot,,,,,,,,,,,,,,,,,,822,242019,3768145,347311,4357475,5301.0644768857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3101,7452041,997699,610947,9060687,2921.8597226701,2487,7050735,876557,643619,8570911,3446.2850824286
mtv.com,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,1778,4278848,354462,379673,5012983,2819.4505061867,1999,7237186,429965,406000,8073151,4038.5947973987,1.909,7283924,569378,545092,8398394,4399368.25563122,2109,8391460,858521,758147,10008128,4745.4376481745,1783,6867767,574936,602313,8045016,4512.0673022995,1485,9835901,570413,553560,10959874,7380.3865319865
nbc.com,16.758,5639141,1919786,2214234,9773161,583193.758205036,17298,5648948,1754030,1815982,9218960,532.9494739276,,,,,,20394,2492925,7390879,2170176,12053980,591.0552123173,22671,6568290,2036372,1935747,10540409,464.9291606017,29663,10120598,2618748,3153465,15892811,535.7789502073,35377,10468193,2917541,3551629,16937363,478.7676456455,36084,12159306,2807273,3393660,18360239,508.8193936371,39.096,12057132,3013827,3260883,18331842,468893.032535298,41619,15692323,4739946,3773431,24205700,581.6021528629,38300,13118232,3140733,4184980,20443945,533.784464752,34124,11921538,2855673,3421010,18198221,533.2968292111
npr.org,2.463,3138393,1252080,1099969,5490442,2229168.49370686,2521,3050815,1121866,1061044,5233725,2076.0511701706,,,,,,6568,905862,3120135,1183575,5209572,793.1747868453,6725,2743527,856670,1066916,4667113,693.9944981413,6680,2982312,1045827,788800,4816939,721.0986526946,4322,2981479,1113813,820414,4915706,1137.3683479871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nytimes.com,7.678,4111913,1908405,1587033,7607351,990798.515238343,7127,4366523,1977439,1813340,8157302,1144.5632103269,,,,,,7853,1639631,4157892,2063861,7861384,1001.067617471,9016,4415649,1500803,2126808,8043260,892.1095829636,8991,5217299,2301950,1662680,9181929,1021.2355689022,9246,5122449,2421518,1716634,9260601,1001.5791693705,8637,5303995,2359797,1673490,9337282,1081.0793099456,9.268,6070134,2528206,1708671,10307011,1112107.35865343,9416,8374346,2453238,3351420,14179004,1505.8415463042,8431,5439189,2311298,1862802,9613289,1140.2311706796,7704,5998474,2189080,1769468,9957022,1292.4483385255
playbuzz.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,1625148,2038560,2095907,5759615,64714.7752808989,,,,,,,2172,3224428,4356292,4327633,11908353,5482.6671270718,1.147,5574053,7596499,7488467,20659019,18011350.4795118,1012,8466565,10267044,10072555,28806164,28464.5889328063,1282,8024871,8701670,8947869,25674410,20026.8408736349,1145,7567761,8627878,8483988,24679627,21554.2593886463
rare.us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191,4847263,1477592,894667,7219522,6061.73131822,,,,,,
rt.com,1.378,1718919,980731,807878,3507528,2545375.90711176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slate,,,,,,,1493,1251395,554675,742839,2548909,1707.2397856665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
theblaze.com,1.666,3474701,1554527,1166850,6196078,3719134.45378151,1346,3162282,1486505,1042607,5691394,4228.3759286776,,,,,,1336,1409846,4383331,1870991,7664168,5736.6526946108,1469,2990898,985714,1195117,5171729,3520.5779441797,2142,4025858,1673061,1234064,6932983,3236.6867413632,1552,2819964,1151943,929427,4901334,3158.0760309278,,,,,,,,,,,,,,,,,,,11959,6229290,2423022,2144877,10797189,902.8504891713,,,,,,
