,Jan,,,Feb,,,Mar,,,Apr,,,May,,,14/06,,,14/07,,,14/08,,,14/09,,,14/10,,,14/11,,,14/12,,
,Shares,Article Count,Ratio,Shares,Article Count,Ratio,Shares,Article Count,Ratio,Shares,Article Count,Ratio,Shares,Article Count,Ratio,Shares,Article Count,Ratio,Shares,,Ratio,Shares,,Ratio,Shares,Article Count,Ratio,Shares,Article Count,Ratio,Shares,Article Count,Ratio,Shares,Article Count,Ratio
abcnews.com,790662,16010,49.3855090568,1149334,15745,72.9967608765,1759073,16607,105.9235864395,1558928,22056,70.6804497642,1623797,17406,93.2894978743,1803100,13203,136.5674467924,1906837,12930,147.4738592421,1677643,11761,142.6445880452,1667659,12656,131.7682522124,1364784,13555,100.6849133161,1279177,12080,105.8921357616,1060136,11385,93.1169082126
bbc.co.uk,2704107,9512,284.2837468461,2481114,8245,300.923468769,2714705,8738,310.6780727855,2866354,10867,263.7668169688,3123577,14442,216.2842404099,3245304,14928,217.3971061093,3556637,20953,169.74356894,3392030,22352,151.7551002147,3789897,46796,80.9876271476,4020105,38162,105.343142393,3960272,35176,112.5844894246,3751694,29226,128.3683706289
bleacherreport.com,582378,11407,51.054440256,565630,9920,57.0191532258,681525,10504,64.8824257426,724889,9839,73.6750686045,741375,10446,70.9721424469,842778,10538,79.9751375973,843379,9476,89.0015829464,827064,8693,95.1413781203,1087681,9239,117.7271349713,1117292,9519,117.3749343418,1178571,8854,133.1117009261,1035551,7936,130.4877772177
breitbart.com,,,,,,,,,,,,,,,,415951,3747,111.0090739258,550091,3737,147.2012309339,,,,,,,,,,,,,,,
businessinsider.com,458069,3851,118.9480654375,502405,4703,106.8264937274,537092,3716,144.5349838536,492312,3400,144.7976470588,469860,3251,144.5278375884,495077,3528,140.3279478458,545253,3567,152.8603868797,519757,3931,132.2200457899,594793,5083,117.0161322054,710489,5488,129.4622813411,564319,4836,116.69127378,629656,4542,138.6296785557
buzzfeed.com,756408,3237,233.6756255792,799923,2737,292.2626963829,811576,2976,272.7069892473,839125,2905,288.8554216867,738144,3036,243.1304347826,740428,4026,183.911574764,992598,4286,231.590760616,849727,5112,166.2220266041,856900,5010,171.0379241517,896601,5590,160.3937388193,860514,5093,168.9601413705,819699,4437,184.7417173766
cbsnews.com,296051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21920,0,,,
cnet.com,322604,,,344346,1988,173.2122736419,,,,,,,,,,,,,,10557,,,,,,,,,,,,,,,,
cnn.com,1178810,6992,168.5941075515,1155358,6171,187.223788689,1207393,6178,195.4342829395,1246775,6372,195.6646264909,1245418,8928,139.4957437276,1169156,12001,97.4215482043,1385019,,,1307342,10076,129.7481143311,1352330,9445,143.1794600318,1532395,11392,134.5150105337,1273525,9444,134.8501694197,965922,8716,110.8217072051
complex.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568738,2675,212.6123364486,511619,2081,245.8524747717
dailymail.co.uk,509892,10680,47.7426966292,476805,9379,50.8375093294,512076,10407,49.2049582012,535605,10897,49.1516013582,,,,652045,18323,35.5861485565,732723,19038,38.4873936338,669911,17419,38.4586371204,752186,17238,43.6353405267,687666,19280,35.6673236515,786280,18391,42.7535207438,626886,16053,39.0510185012
entrepreneur.com,195126,,,,,,,,,,,,,,,,,,,,,,,,506238,819,618.1172161172,,,,,,,,,
espn.com,440512,6346,69.4156949259,399434,5692,70.1746310611,501749,5910,84.8983079526,522877,5720,91.4120629371,531268,5359,99.135659638,488321,4381,111.4633645286,578959,4898,118.2031441405,534060,5074,105.2542372881,759101,11836,64.1349273403,782170,14064,55.6150455063,689522,13290,51.8827689992,665529,12518,53.1657613037
fifa.com,,,,,,,,,,,,,,,,422801,897,471.3500557414,,,,,,,,,,,,,,,,,,
forbes.com,797548,6031,132.2414193334,812845,5114,158.9450527962,961547,6025,159.5928630705,892681,6207,143.8184308039,958192,6082,157.5455442289,1028389,6333,162.3857571451,1112241,6955,159.9196261682,1128849,6334,178.220555731,1176191,7034,167.215098095,1101766,7812,141.0350742448,778152,6315,123.2228028504,752225,6007,125.2247378059
foxnews.com,587263,48811,12.0313658806,539816,46219,11.6795257362,680896,52655,12.931269585,824226,54842,15.0291017833,831383,57688,14.4117147414,921001,66909,13.7649793002,947970,67806,13.980621184,961409,65755,14.621078245,967207,68217,14.1783866192,1036148,72173,14.3564490876,992609,68174,14.5599348725,874266,62765,13.9291962081
gizmodo.com,344103,2904,118.492768595,361223,2577,140.1719053163,384944,2752,139.8779069767,386958,2685,144.1184357542,,,,,,,,,,,,,,,,,,,,,,,,
goal.com,353741,6915,51.1556037599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
huffingtonpost.com,958699,18135,52.864571271,720629,16724,43.0895120785,854134,17357,49.2097712738,771351,16904,45.6312707052,834435,19205,43.4488414475,933237,26263,35.5342877813,1142282,26556,43.0140834463,1136686,24574,46.2556360381,1122685,25172,44.6005482282,1169717,24448,47.8450998037,1021940,20483,49.8921056486,900251,17940,50.1812151617
Mail Online ,,,,,,,,,,,,,568576,13724,41.4293208977,,,,,,,,,,,,,,,,,,,,,
mashable.com,1421044,1406,1010.6998577525,1459562,1404,1039.5740740741,1655541,1426,1160.9684431978,1829419,1645,1112.1088145897,1767630,1604,1102.0137157107,1834040,1771,1035.5957086392,1951710,1847,1056.6919328641,1656521,1698,975.5718492344,1856563,1877,989.1118806606,1816282,2156,842.4313543599,1775751,1848,960.9042207792,1600099,1653,967.9969751966
MTV,195956,,,,,,,,,,,,427369,1348,317.0393175074,,,,494990,1778,278.3970753656,711517,1999,355.9364682341,,,,649020,2109,307.7382645804,538213,1783,301.8581043186,586404,1485,394.8848484848
nbcnews.com,604614,16758,36.0791263874,639664,17298,36.9790727252,778958,20341,38.2949707487,750495,20394,36.7997940571,718125,22671,31.6759296017,745722,29662,25.1406513384,859846,35377,24.3052265596,894472,36084,24.7886043676,954239,39096,24.4075864539,952660,41619,22.89002619,925409,38300,24.1621148825,873504,34124,25.5979369359
NDTV,217923,,,,,,,,,457325,8755,52.2358652199,423457,10109,41.889108715,,,,,,,,,,646150,9329,69.262514739,590942,7631,77.4396540427,,,,480320,7047,68.1595004967
nytimes.com,,7678,0,1280818,7127,179.7134839343,1836429,8015,229.1240174672,1997272,7853,254.332357061,2112842,9016,234.3436113576,2284778,8990,254.1466073415,2476791,9246,267.877027904,2354626,8637,272.6208174135,2420402,9268,261.1568839016,2597804,9416,275.8925233645,2221533,8431,263.4957893488,2179163,7704,282.8612409138
rt.com,240797,,,,,,,,,,,,,,,,,,571846,1466,390.0723055935,582014,1283,453.6352299299,,,,549224,1919,286.2032308494,567368,1998,283.967967968,504069,2089,241.2967927238
techcrunch.com,,1123,0,458158,1131,405.0910698497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
telegraph.co.uk,,9037,0,501454,12942,38.7462525112,592653,13694,43.2782970644,,,,,,,,,,888507,15966,55.6499436302,890322,13613,65.4023360024,895292,14450,61.9579238754,936743,17795,52.640797977,908918,17644,51.5142824756,821220,11598,70.8070356958
The Independent,339359,,,,,,,,,391714,6231,62.865350666,461106,6035,76.4053024027,445043,6840,65.0647660819,692636,6891,100.5131330721,672218,6616,101.6048972189,597918,6581,90.855189181,745902,6751,110.487631462,820948,6324,129.8146742568,671347,5459,122.9798497893
The India Times,269002,,,,,,392904,22645,17.3505851181,527801,22240,23.7320593525,432944,23810,18.1832843343,445467,22431,19.8594356025,,,,508282,34342,14.8005940248,535623,36191,14.7998950015,540246,32484,16.631141485,548334,34794,15.759441283,526499,35108,14.9965534921
The LA Times,304475,,,,,,492805,5167,95.3754596478,420958,4904,85.8397226754,581927,5788,100.5402557015,522968,5654,92.4952246197,,,,,,,,,,,,,,,,,,
theguardian.com,,12152,0,1066489,11345,94.0052005289,1156510,12425,93.0792756539,1130401,11178,101.1273036321,1225781,11521,106.3953649857,1324385,12159,108.9221975491,1419686,11787,120.4450665988,1265721,11196,113.0511789925,1370076,12025,113.9356340956,1510690,12717,118.7929543131,1350454,11959,112.9236558241,1188490,10457,113.654967964
theverge.com,,,,397478,1068,372.170411985,387026,917,422.0567066521,,,,,,,,,,,,,,,,,,,,,,,,,,,
time.com,,2833,0,349773,2786,125.5466618808,436561,2985,146.2515912898,1146464,3076,372.7126137841,448055,3029,147.9217563552,496888,3491,142.3340017187,492437,3127,157.4790534058,513760,2672,192.2754491018,,,,,,,,,,,,
tmz.com,,575,0,,,,,,,,,,488797,896,545.5323660714,,,,,,,,,,573364,772,742.6994818653,,,,,,,,,
usatoday.com,,6566,0,382436,6559,58.3070590029,370602,8043,46.0775829914,413464,7953,51.9884320382,,,,428071,10066,42.5264255911,546571,12131,45.0557250021,590422,12058,48.965168353,607384,12921,47.0075071589,642765,14486,44.3714621013,538293,12409,43.3792408736,,,
washingtonpost.com,,7190,0,387066,7041,54.973157222,399938,7556,52.9298570672,409800,7791,52.5991528687,416799,8491,49.0871511012,506873,8466,59.8716040633,620329,8568,72.4006769374,734062,8830,83.1327293318,745501,9830,75.8393692777,801042,10195,78.5720451202,701444,8872,79.0626690712,643569,8023,80.2155054219
wsj.com,,6885,0,559093,6815,82.0385913426,643315,7415,86.7585974376,630094,8589,73.3605774828,662579,9476,69.9218024483,684119,8839,77.3977825546,808982,9080,89.0949339207,772921,7739,99.8734978679,877666,8629,101.711206397,903888,9540,94.7471698113,,,,,,
yahoo.com,,110930,0,567729,89489,6.3441205064,662823,96437,6.8731192385,587271,110210,5.3286543871,669149,115957,5.7706649879,766928,122186,6.2767256478,898508,116116,7.7380206001,1001997,110276,9.0862653705,838440,113889,7.3619050128,818035,119613,6.839014154,773326,110424,7.0032420488,575336,94543,6.0854426028
